,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
0,2019,120 Batimentos Por Minuto,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,10.0,70.0
1,2019,3 Faces,Ficção,Irã,Estrangeira,Imovision,Distribuição Nacional,6289.0,103805.0
2,2019,45 Dias Sem Você,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,3303.0,31295.0
3,2019,A 100 Passos De Um Sonho,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,69.0,4186.0
4,2019,A Abelhinha Maya - O Filme,Animação,Alemanha,Estrangeira,Playarte,Distribuição Nacional,402.0,3531.0
5,2019,A Batalha Das Correntes,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,19579.0,425304.0
6,2019,A Bela da Tarde,Ficção,"França, Itália",Estrangeira,Zeta Filmes,Distribuição Nacional,14.0,253.0
7,2019,A Cabeça De Gumercindo Saraiva,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,195.0,1830.0
8,2019,A Caminho De Casa,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,652641.0,9445705.0
9,2019,A Casa De Veraneio,Ficção,"França, Itália",Estrangeira,Imovision,Distribuição Nacional,8001.0,137759.0
10,2019,A Casa Que Jack Construiu,Ficção,"Alemanha, Dinamarca, França, Suécia",Estrangeira,Califórnia,Distribuição Nacional,530.0,4466.0
11,2019,A Cidade Dos Piratas,Animação,Brasil,Brasileira,Lança Filmes,Distribuição Nacional,2364.0,32055.0
12,2019,A Cinco Passos De Você,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,1346982.0,19364671.0
13,2019,A Costureira De Sonhos,Ficção,"França, Índia",Estrangeira,Imovision,Distribuição Nacional,21464.0,360398.0
14,2019,A Câmera De Claire,Ficção,"Coréia do Sul, França",Estrangeira,Pandora Filmes,Distribuição Nacional,72.0,456.0
15,2019,A Espiã Vermelha,Ficção,Inglaterra,Estrangeira,Califórnia,Distribuição Nacional,35593.0,676079.0
16,2019,A Esposa,Ficção,"Estados Unidos, Reino Unido, Suécia",Estrangeira,Alpha Filmes,Distribuição Nacional,170609.0,3056791.0
17,2019,A Excêntrica Família De Gaspard,Ficção,França,Estrangeira,Bonfilm,Distribuição Nacional,39.0,344.0
18,2019,A Família Addams,Animação,"Canadá, Estados Unidos, Inglaterra",Estrangeira,Universal,Distribuição Internacional,1622344.0,24330901.0
19,2019,A Família Submersa,Ficção,"Brasil, Argentina",Brasileira,Esfera Produções,Distribuição Nacional,2538.0,38427.0
20,2019,A Favorita,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,254709.0,4988357.0
21,2019,A Fera Na Selva,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,3106.0,41232.0
22,2019,A Filosofia na Alcova,Ficção,Brasil,Brasileira,Espaço dos Satyros,Distribuição Nacional,150.0,2493.0
23,2019,A Forma Da Água,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,13.0,26.0
24,2019,A Fábrica De Nada,Ficção,Portugal,Estrangeira,Imovision,Distribuição Nacional,6.0,21.0
25,2019,A Garota Na Névoa,Ficção,Itália,Estrangeira,A2 Filmes,Distribuição Nacional,215.0,1924.0
26,2019,A Grande  Dama  Do Cinema,Ficção,Argentina,Estrangeira,Fênix Filmes,Distribuição Nacional,24992.0,426096.0
27,2019,A Grande Mentira,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,39508.0,844595.0
28,2019,A História De Um Sonho,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,4910.0,35242.0
29,2019,A Irmandade,Documentário,Brasil,Brasileira,Lume Produções Cinematográficas,Distribuição Nacional,684.0,6611.0
30,2019,A Juíza,Documentário,Estados Unidos,Estrangeira,Flow Filmes,Distribuição Nacional,6287.0,78834.0
31,2019,A Lenda De Golem,Ficção,Israel,Estrangeira,Playarte,Distribuição Nacional,8077.0,121734.0
32,2019,A Luta Do Século,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,25.0,56.0
33,2019,A Luz No Fim Do Mundo,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,7335.0,154823.0
34,2019,A Maldição Da Chorona,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,361053.0,5617449.0
35,2019,A Maldição Da Freira,Ficção,Reino Unido,Estrangeira,Playarte,Distribuição Nacional,148557.0,2285835.0
36,2019,A Maratona De Brittany,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,2380.0,47201.0
37,2019,A Menina E O Leão,Ficção,"África do Sul, Alemanha, França",Estrangeira,Paris,Distribuição Nacional,34883.0,572953.0
38,2019,A Misteriosa Morte De Pérola,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,10.0,56.0
39,2019,A Morte Te Dá Parabéns 2,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,595463.0,8504116.0
40,2019,A Mula,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,177958.0,3957700.0
41,2019,A Mulher Do Meu Marido,Ficção,"Argentina, Brasil",Brasileira,Bretz Filmes,Distribuição Nacional,3018.0,50248.0
42,2019,A Música Da Minha Vida,Ficção,Reino Unido,Estrangeira,Warner,Distribuição Internacional,17464.0,380002.0
43,2019,A Música Do Tempo - Do Sonho Do Império Ao Império Do Sonho,Documentário,Brasil,Brasileira,Espaço Filmes,Distribuição Nacional,317.0,5222.0
44,2019,A Noite Amarela,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,1798.0,12920.0
45,2019,A Noite De 12 Anos,Ficção,"Argentina, Espanha, Uruguai",Estrangeira,Vitrine Filmes,Distribuição Nacional,1426.0,23535.0
46,2019,A Nossa Espera,Ficção,"Bélgica, França",Estrangeira,Vitrine Filmes,Distribuição Nacional,10020.0,155360.0
47,2019,A Número Um,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,6.0,54.0
48,2019,A Odisseia Dos Tontos,Ficção,"Argentina, Espanha",Estrangeira,Warner,Distribuição Internacional,124934.0,2420806.0
49,2019,A Outra Mulher,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,9.0,63.0
50,2019,A Parte Do Mundo Que Me Pertence,Documentário,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,571.0,6299.0
51,2019,A Pedra Da Serpente,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,507.0,4346.0
52,2019,A Pequena Travessa,Ficção,Alemanha,Estrangeira,Paris,Distribuição Nacional,9298.0,135533.0
53,2019,A Prece,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,322.0,3178.0
54,2019,A Pé Ele Não Vai Longe,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,10961.0,183761.0
55,2019,A Quarta Parede,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,1455.0,12327.0
56,2019,A Rebelião,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,22732.0,366619.0
57,2019,A Resistência De Inga,Ficção,"Alemanha, Dinamarca, França, Islândia",Estrangeira,Imovision,Distribuição Nacional,1078.0,16652.0
58,2019,A Rosa Azul De Novalis,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,704.0,4923.0
59,2019,A Rota Selvagem,Ficção,Estados Unidos,Estrangeira,Califórnia/Diamond Films,Distribuição Nacional,64.0,1570.0
60,2019,A Sereia: Lago Dos Mortos,Ficção,Rússia,Estrangeira,Paris,Distribuição Nacional,235011.0,3304494.0
61,2019,A Serpente,Ficção,Brasil,Brasileira,Jura Filmes,Distribuição Nacional,527.0,5591.0
62,2019,A Sombra Do Pai,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,2908.0,43183.0
63,2019,A Tabacaria,Ficção,"Alemanha, Áustria",Estrangeira,A2 Filmes,Distribuição Nacional,58901.0,1021174.0
64,2019,A Turma Do Pererê.Doc,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,472.0,4332.0
65,2019,A Vida De Diane,Ficção,Estados Unidos,Estrangeira,Supo Mungam Films,Distribuição Nacional,73.0,532.0
66,2019,A Vida Em Si,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,2028.0,28519.0
67,2019,A Vida Invisível,Ficção,"Alemanha, Brasil",Brasileira,Sony/Vitrine Filmes,Codistribuição Internacional-Nacional,117222.0,2010086.0
68,2019,A Voz Do Silêncio,Ficção,"Argentina, Brasil",Brasileira,Imovision,Distribuição Nacional,263.0,2275.0
69,2019,A Árvore  Dos Frutos Selvagens,Ficção,"Alemanha, Bulgária, França, Suécia, Turquia",Estrangeira,Fênix Filmes,Distribuição Nacional,4705.0,73825.0
70,2019,A Última Chance,Ficção,Brasil,Brasileira,Europa,Distribuição Nacional,45.0,484.0
71,2019,A Última Loucura De Claire Darling,Ficção,França,Estrangeira,A2 Filmes,Distribuição Nacional,23355.0,400230.0
72,2019,Abaixo A Gravidade,Ficção,Brasil,Brasileira,Fênix Filmes,Distribuição Nacional,851.0,11263.0
73,2019,Abigail E A Cidade Proibida,Ficção,Rússia,Estrangeira,Playarte,Distribuição Nacional,66775.0,998015.0
74,2019,Abominável,Animação,"China, Estados Unidos",Estrangeira,Universal,Distribuição Internacional,1026553.0,15115285.0
75,2019,Aconteceu Na Quarta-Feira (Doppelganger),Ficção,Brasil,Brasileira,Forte Filmes,Distribuição Nacional,130.0,2451.0
76,2019,Acossado,Ficção,França,Estrangeira,Zeta Filmes,Distribuição Nacional,29.0,252.0
77,2019,Ad Astra,Ficção,"Brasil, Estados Unidos",Estrangeira,Disney,Distribuição Internacional,360557.0,6839419.0
78,2019,Adam,Ficção,"Bélgica, França, Marrocos",Estrangeira,Arteplex,Distribuição Nacional,16212.0,288790.0
79,2019,Adeus À Noite,Ficção,"Alemanha, França",Estrangeira,Pandora Filmes,Distribuição Nacional,12802.0,202967.0
80,2019,After,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,263616.0,3902213.0
82,2019,Aladdin,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,4788803.0,80060751.0
83,2019,Alaska,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,2143.0,17500.0
84,2019,Albatroz,Ficção,Brasil,Brasileira,Paris,Distribuição Nacional,6387.0,112633.0
85,2019,Alex Camera 10,Documentário,Brasil,Brasileira,Moro Comunicação,Distribuição Nacional,358.0,4686.0
86,2019,Alita: Anjo De Combate,Ficção,"Argentina, Canadá, Estados Unidos",Estrangeira,Fox,Distribuição Internacional,1028151.0,16823123.0
87,2019,Alma Imoral,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,3143.0,54483.0
88,2019,Amanda,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,13131.0,213785.0
89,2019,Amanhã Chegou,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,23.0,306.0
90,2019,Ama-San,Documentário,"Japão, Portugal",Estrangeira,Bretz Filmes,Distribuição Nacional,1717.0,23330.0
91,2019,Amazônia Groove,Documentário,Brasil,Brasileira,Pagu Pictures,Distribuição Nacional,1483.0,23661.0
92,2019,"Amazônia, O Despertar Da Florestania",Documentário,Brasil,Brasileira,Descoloniza Filmes,Distribuição Nacional,3843.0,49989.0
93,2019,Ambiente Familiar,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,728.0,6111.0
94,2019,Amigos Alienígenas,Animação,"Alemanha, Dinamarca, Luxemburgo",Estrangeira,Playarte,Distribuição Nacional,79.0,1068.0
95,2019,Amigos Para Sempre,Ficção,Estados Unidos,Estrangeira,Califórnia,Distribuição Nacional,19084.0,439896.0
96,2019,Amor Até Às Cinzas,Ficção,"China, França, Japão",Estrangeira,Imovision,Distribuição Nacional,8116.0,136608.0
97,2019,Amor Em Jogo,Ficção,Israel,Estrangeira,Elite Filmes,Distribuição Nacional,294.0,4880.0
98,2019,Amor À Segunda Vista,Ficção,"Bélgica, França",Estrangeira,Bonfilm,Distribuição Nacional,18505.0,286175.0
99,2019,Amores De Chumbo,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,73.0,425.0
100,2019,Angry Birds 2 - O Filme,Animação,"Estados Unidos, Finlândia",Estrangeira,Sony,Distribuição Internacional,891264.0,12436382.0
101,2019,Animais Fantásticos: Os Crimes De Grindelwald,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Warner,Distribuição Internacional,1071.0,16148.0
102,2019,Anna - O Perigo Tem Nome,Ficção,França,Estrangeira,Paris,Distribuição Nacional,100442.0,1704122.0
103,2019,Annabelle 3: De Volta Para Casa,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,1782048.0,26401779.0
104,2019,Anos 90,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,3854.0,60885.0
105,2019,Antes Que Tudo Desapareça,Ficção,Japão,Estrangeira,Zeta Filmes,Distribuição Nacional,4.0,28.0
106,2019,Antártica Por Um Ano,Documentário,Brasil,Brasileira,E.H. Produções,Distribuição Nacional,484.0,7712.0
107,2019,Antônio Um Dois Três,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,742.0,7984.0
108,2019,Aquaman,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,2919358.0,46807467.0
109,2019,Aquarius,Ficção,"Brasil, França",Brasileira,Vitrine Filmes,Distribuição Nacional,158.0,1366.0
110,2019,Arranha-Céu : Coragem Sem Limite,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,64.0,512.0
111,2019,Arábia,Ficção,Brasil,Brasileira,Embaúba Filmes/Pique-Bandeira Filmes,Distribuição Nacional,31.0,252.0
112,2019,As Boas Maneiras,Ficção,"França, Brasil",Brasileira,Imovision,Distribuição Nacional,26.0,232.0
113,2019,As Filhas Do Fogo,Ficção,Argentina,Estrangeira,Vitrine Filmes,Distribuição Nacional,6089.0,73723.0
114,2019,As Golpistas,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,216825.0,3358896.0
115,2019,As Hiper Mulheres,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,15.0,166.0
116,2019,As Loucuras De Rose,Ficção,Reino Unido,Estrangeira,Diamond Films,Distribuição Nacional,1447.0,22428.0
117,2019,As Montanhas Se Separam,Ficção,"China, França, Japão",Estrangeira,Imovision,Distribuição Nacional,27.0,175.0
118,2019,As Panteras,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,453400.0,6866235.0
119,2019,As Rainhas Da Torcida,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,13493.0,245774.0
120,2019,As Trapaceiras,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,90457.0,1581720.0
121,2019,As Viúvas,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,271.0,4376.0
122,2019,Asako I & Ii,Ficção,"França, Japão",Estrangeira,Zeta Filmes,Distribuição Nacional,1937.0,23600.0
123,2019,Aspirantes,Ficção,Brasil,Brasileira,Ciclorama Filmes,Distribuição Nacional,382.0,5223.0
124,2019,Assunto De Família,Ficção,Japão,Estrangeira,Imovision,Distribuição Nacional,60226.0,971384.0
126,2019,Ayka,Ficção,"Alemanha, Cazaquistão, China, França, Polônia, Rússia",Estrangeira,Zeta Filmes,Distribuição Nacional,1512.0,18670.0
127,2019,Azougue Nazaré,Ficção,Brasil,Brasileira,Inquieta Cinema Cultura e Comunicação,Distribuição Nacional,4145.0,36555.0
128,2019,B.O.,Ficção,Brasil,Brasileira,Raccord Produções,Distribuição Nacional,786.0,11535.0
129,2019,Bacurau,Ficção,"França, Brasil",Brasileira,Vitrine Filmes,Distribuição Nacional,735191.0,11284729.0
130,2019,Baronesa,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,152.0,880.0
131,2019,Bate Coração,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,5864.0,94671.0
132,2019,Beatriz,Ficção,"Portugal, Brasil",Brasileira,Anagrama Filmes,Distribuição Nacional,1217.0,16103.0
133,2019,Benzinho,Ficção,"Brasil, Uruguai",Brasileira,Vitrine Filmes,Distribuição Nacional,355.0,2347.0
134,2019,Bio,Ficção,Brasil,Brasileira,Bretz Filmes,Distribuição Nacional,896.0,13374.0
135,2019,Bixa Travesty,Documentário,Brasil,Brasileira,Arteplex,Distribuição Nacional,6591.0,43560.0
136,2019,Blitz,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,253.0,2391.0
137,2019,Boas Intenções,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,6491.0,99950.0
138,2019,Bohemian Rhapsody,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,174442.0,3537075.0
139,2019,Border,Ficção,"Dinamarca, Suécia",Estrangeira,Arteplex,Distribuição Nacional,29347.0,513889.0
140,2019,Borrasca,Ficção,Brasil,Brasileira,Fênix Filmes/Tucumán,Distribuição Nacional,309.0,4358.0
141,2019,Brightburn - Filho Das Trevas,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,77584.0,1162959.0
142,2019,Brincando Com Fogo,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,310681.0,4080813.0
143,2019,Brinquedo Assassino,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,270135.0,4006857.0
144,2019,Brooklyn Sem Pai Nem Mãe,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,10270.0,234797.0
145,2019,Bruna Surfistinha,Ficção,Brasil,Brasileira,Imagem/RioFilme,Distribuição Nacional,19.0,95.0
146,2019,Bumblebee,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,895771.0,12929065.0
147,2019,Cachorros,Ficção,"Chile, França",Estrangeira,Imovision,Distribuição Nacional,10.0,56.0
148,2019,Cadáver,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,2332.0,23052.0
149,2019,"Cadê Você, Bernadette?",Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,28825.0,629229.0
150,2019,Cafarnaum,Ficção,Líbano,Estrangeira,Sony,Distribuição Internacional,56099.0,894546.0
151,2019,Calmaria,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,24033.0,486033.0
152,2019,Caminhos Magnéticos,Ficção,"Portugal, Brasil",Brasileira,Esfera Produções,Distribuição Nacional,92.0,1082.0
153,2019,Camocim,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,55.0,165.0
154,2019,Capitã Marvel,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,8991777.0,146759329.0
155,2019,Carcereiros - O Filmes,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,193356.0,2621887.0
156,2019,Carros 3,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,50.0,365.0
157,2019,Carta Para Além Dos Muros,Documentário,Brasil,Brasileira,Descoloniza Filmes,Distribuição Nacional,3898.0,45935.0
159,2019,Carvana,Documentário,Brasil,Brasileira,Mac Comunicação,Distribuição Nacional,22.0,84.0
160,2019,Casal Improvável,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,129350.0,2413461.0
161,2019,Cats,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Universal,Distribuição Internacional,44063.0,916398.0
162,2019,Caverna Dos Sonhos Esquecidos,Documentário,"Alemanha, Canadá, Estados Unidos, França, Reino Unido",Estrangeira,Zeta Filmes,Distribuição Nacional,70.0,1035.0
163,2019,Cemitério Maldito,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,550885.0,8395749.0
164,2019,Central Do Brasil,Ficção,Brasil,Brasileira,Videofilmes,Distribuição Nacional,263.0,2652.0
165,2019,Cezanne E Eu,Ficção,"Bélgica, França",Estrangeira,Bretz Filmes,Distribuição Nacional,19150.0,337341.0
166,2019,Chega De Fiu Fiu,Documentário,Brasil,Brasileira,Taturana,Distribuição Nacional,164.0,799.0
167,2019,Chorar De Rir,Ficção,Brasil,Brasileira,Warner,Distribuição Internacional,82715.0,1250625.0
168,2019,Chuva É Cantoria Na Aldeia Dos Mortos,Ficção,"Brasil, Portugal",Brasileira,Embaúba Filmes,Distribuição Nacional,3815.0,42917.0
169,2019,Chá Com As Damas,Documentário,Reino Unido,Estrangeira,Supo Mungam Films,Distribuição Nacional,2183.0,28337.0
170,2019,Cinderela E O Príncipe Secreto,Animação,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,117.0,2188.0
171,2019,Cinderela Pop,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,476714.0,6433928.0
172,2019,Cine Holliúdy 2 - A Chibata Sideral,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,169970.0,2479403.0
